"","Drill bit","Mean Thrust","Mean Torque","Degradation","Max Thrust","Max Torque","Area","Correlation","RUL"
"24","d11h1","236.6420815","16.0600593","0.040048057669203","390","32.246","3981.02047691995","0.867429100436409","22"
"25","d11h10","242.345421759259","18.0532330092593","0.0432519022827393","429.48","33.576","3226.37423011998","0.935498927104101","13"
"26","d11h11","258.074995098039","19.657815245098","0.0408490188225871","428.06","35.571","3773.69289347995","0.922015047192016","12"
"27","d11h12","254.013579425837","19.1700558373206","0.0418502202643172","443.72","35.238","3280.98108546005","0.928927037608322","11"
"28","d11h13","261.396513592233","20.0124559223301","0.0412494993992791","446.57","36.901","3555.98598348","0.926601282911286","10"
"29","d11h14","267.043138388626","19.8659448815166","0.0422507008410092","455.11","36.236","3887.51214440004","0.927384790676894","9"
"30","d11h15","275.781009433962","20.5970570283019","0.0424509411293552","470.78","37.565","3536.53147435002","0.94377723721864","8"
"31","d11h16","284.510572093023","21.5837030232558","0.0430516619943933","507.99","40.557","3467.59331716003","0.947050060422251","7"
"32","d11h17","289.862737037037","22.1471394907407","0.0432519022827393","499.25","42.22","3847.73135016998","0.94988118974729","6"
"33","d11h18","286.892514220184","21.7609664678899","0.0436523828594313","505.07","41.887","3477.49751593499","0.950179007396797","5"
"34","d11h19","288.372795412844","22.3221268807339","0.0436523828594313","513.82","41.887","3991.95557615999","0.944936165903281","4"
"35","d11h2","248.859453535354","18.0674850505051","0.039647577092511","392.74","32.579","3870.78080364503","0.876810459091398","21"
"36","d11h20","296.359486547085","22.60724","0.0446535843011614","531.32","43.549","3660.34514544997","0.954690371779232","3"
"37","d11h21","303.77476419214","22.0497631441048","0.0458550260312375","524.03","42.884","4742.99311746494","0.942907164445499","2"
"38","d11h22","288.4334","25.0508808979592","0.0490588706447737","541.53","46.874","6340.50504146656","0.919601203069678","1"
"39","d11h23","442.338690277778","50.6764492777778","0.0720865038045655","726.57","84.772","1215.78505950049","0.720468428067912","0"
"40","d11h3","249.168564141414","18.198443989899","0.039647577092511","405.28","31.582","3793.48343739996","0.89048609562268","20"
"41","d11h4","245.669216","17.9300585","0.040048057669203","388.63","31.582","3685.82105939498","0.896338348918834","19"
"42","d11h5","245.436657286432","17.9282751256281","0.039847817380857","391.37","33.909","3896.32021184999","0.892570752080133","18"
"43","d11h6","241.387468627451","17.5735912254902","0.0408490188225871","392.74","33.576","3806.78230139997","0.900631987181669","17"
"44","d11h7","248.865164676617","18.5966797014925","0.0402482979575491","401.01","33.909","3897.02206480002","0.901264981619962","16"
"45","d11h8","247.364354901961","18.3362195098039","0.0408490188225871","413.82","34.574","3790.66602250002","0.911329984751179","15"
"46","d11h9","240.705186057692","17.6192272596154","0.0416499799759712","416.67","31.914","3436.63204980001","0.916536692371862","14"
"47","d12h1","251.148822167488","16.3271233990148","0.0446742957746479","413.82","30.584","4645.26075565","0.855745175697151","20"
"48","d12h10","277.983712807882","19.5319581280788","0.0446742957746479","456.54","33.576","4357.54009707004","0.90829922802383","11"
"49","d12h11","270.187347317073","19.0267992195122","0.0451144366197183","449.42","33.909","4825.57354881009","0.885295541506153","10"
"50","d12h12","269.888450943396","19.2829795754717","0.0466549295774648","460.81","34.906","4496.79060463503","0.909170447800072","9"
"51","d12h13","288.197114903846","20.9403783653846","0.0457746478873239","486.44","36.568","4755.64102544996","0.913400504942325","8"
"52","d12h14","288.843613364055","21.1504086175115","0.0477552816901408","509.44","39.56","4472.87152647006","0.932607471572458","7"
"53","d12h15","284.510882949309","20.9451380645161","0.0477552816901408","486.44","39.893","5060.04865725001","0.913021238418984","6"
"54","d12h16","296.867465","22.2174327727273","0.0484154929577465","526.95","42.552","5149.31595909502","0.932745817936419","5"
"55","d12h17","286.648157641921","21.5141095196507","0.0503961267605634","528.41","41.555","5151.11520144506","0.938225512441829","4"
"56","d12h18","295.191716","22.6663490666667","0.0495158450704225","541.53","43.882","5462.81193511002","0.936140791185795","3"
"57","d12h19","286.147248305085","21.9549574152542","0.0519366197183099","544.45","44.547","4914.41839330015","0.942691593221867","2"
"58","d12h2","266.481237560976","19.0997770243902","0.0451144366197183","453.69","37.233","4728.40441949503","0.885645674045605","19"
"59","d12h20","308.348332327586","23.9570188362069","0.051056338028169","567.79","44.879","5756.39543579007","0.941812052499748","1"
"60","d12h21","277.146663793103","28.433771137931","0.0638204225352113","606.03","54.852","13882.5726327829","0.777402175081894","0"
"61","d12h3","268.268663235294","18.6866179411765","0.0448943661971831","435.18","32.911","4636.56001719495","0.890116360732618","18"
"62","d12h4","269.561542718447","19.0812850485437","0.0453345070422535","452.27","34.241","4849.46360550995","0.896155781651764","17"
"63","d12h5","266.924176811594","18.8076316908213","0.0455545774647887","446.57","33.244","4642.74020533008","0.899376610140725","16"
"64","d12h6","260.835462980769","18.3304481730769","0.0457746478873239","439.45","33.244","4435.54001529992","0.907193245074956","15"
"65","d12h7","251.712775813953","17.6671392093023","0.0473151408450704","440.87","33.244","4526.69488969003","0.904765783528433","14"
"66","d12h8","270.418547","18.9822084","0.0440140845070423","433.76","32.911","4443.65837423492","0.892783404671585","13"
"67","d12h9","269.281728217822","19.2418802970297","0.0444542253521127","442.3","33.909","4197.47084184806","0.897077560797459","12"
"68","d13h1","253.760478","16.07667195","0.020641965115079","430.91","31.249","4716.37501605001","0.842086574282408","44"
"69","d13h10","265.881583333333","17.8717891176471","0.0210548044173805","433.76","32.579","4257.79496891506","0.896041885883484","35"
"70","d13h11","269.852879227053","18.2873252173913","0.0213644338941067","447.99","31.914","4055.56414041994","0.915875161121878","34"
"71","d13h12","271.390685365854","18.417079902439","0.0211580142429559","460.81","31.914","4137.81671803992","0.906622148217751","33"
"72","d13h13","268.979381339713","18.3811220574163","0.0215708535452575","456.54","32.246","4305.39229529502","0.907003674987821","32"
"73","d13h14","270.549439130435","18.7899775362319","0.0213644338941067","446.57","32.579","4247.95468851493","0.902577429786873","31"
"74","d13h15","273.835288942308","18.8003115384615","0.0214676437196821","457.96","32.911","4223.80444217508","0.911809465515144","30"
"75","d13h16","270.69346097561","18.4495015121951","0.0211580142429559","428.06","32.579","4081.12397831504","0.896863562008282","29"
"76","d13h17","262.009184803922","18.4519340196078","0.0210548044173805","425.21","32.246","4378.43856903503","0.886946803795763","28"
"77","d13h18","273.429791219512","18.8273447804878","0.0211580142429559","456.54","33.244","4561.89469022502","0.888856388962343","27"
"78","d13h19","273.170579227053","18.8060083091787","0.0213644338941067","456.54","32.911","4459.72909479996","0.901327500877748","26"
"79","d13h2","268.919219306931","17.8414039108911","0.0208483847662297","439.45","30.584","4413.282946605","0.888699872977189","43"
"80","d13h20","268.87087826087","18.642220531401","0.0213644338941067","433.76","33.909","4356.29735558992","0.897254679165955","25"
"81","d13h21","274.40254368932","19.053840631068","0.0212612240685313","445.15","35.571","4064.11054588994","0.901956684164768","24"
"82","d13h22","270.815012322275","18.8969827488152","0.0217772731964083","460.81","34.574","4454.63787596999","0.910381528889083","23"
"83","d13h23","264.470219534884","18.5546787906977","0.0221901124987099","455.11","33.909","4313.48209708999","0.914128365434546","22"
"84","d13h24","267.613596226415","18.8297896226415","0.0218804830219837","462.23","34.241","4240.25798889506","0.915114928120323","21"
"85","d13h25","272.499390338164","19.2765879710145","0.0213644338941067","436.6","34.241","4257.22079016","0.907097461581477","20"
"86","d13h26","268.858321428571","19.0344323333333","0.0216740633708329","447.99","33.244","4166.57851726504","0.912109881180955","19"
"87","d13h27","270.69111042654","19.1790043127962","0.0217772731964083","452.27","34.906","4389.57594095508","0.912494178005683","18"
"88","d13h28","265.850151131222","18.7774834841629","0.0228093714521622","460.81","34.906","4260.56640847004","0.925519694039786","17"
"89","d13h29","272.551663333333","19.5330992857143","0.0216740633708329","449.42","34.906","4212.71615841507","0.9143580028502","16"
"90","d13h3","265.446908955224","17.8887854228856","0.0207451749406544","423.79","31.914","4609.52726693999","0.881014250691612","42"
"91","d13h30","270.76702706422","19.1060447706422","0.0224997419754361","470.78","34.906","3935.49598393007","0.927456516225043","15"
"92","d13h31","276.225605504587","19.3271362844037","0.0224997419754361","486.44","35.238","3811.62026413996","0.931721589334947","14"
"93","d13h32","272.508848198198","19.3383212612613","0.0229125812777376","485.01","35.903","4133.12235394993","0.930873805180575","13"
"94","d13h33","288.874212264151","20.6864222641509","0.0218804830219837","479.32","37.565","4481.29664363002","0.922259439864807","12"
"95","d13h34","279.883738738739","19.6467728378378","0.0229125812777376","497.83","36.901","3820.31625810999","0.936151532542401","11"
"96","d13h35","289.280961674009","19.9374869162996","0.0234286304056146","521.11","36.568","4121.87428156007","0.941296313534394","10"
"97","d13h36","293.978187330317","20.5133824886878","0.0228093714521622","513.82","37.233","4074.52959007001","0.935870685964076","9"
"98","d13h37","279.37753930131","19.5673890829694","0.0236350500567654","502.15","36.568","3998.48658419005","0.939512310150084","8"
"99","d13h38","278.070241702128","20.0113199574468","0.0242543090102178","519.65","38.563","4443.51751582511","0.943659370395581","7"
"100","d13h39","294.684529955947","20.9069721145374","0.0234286304056146","528.41","38.23","4386.72235278494","0.940817209889866","6"
"101","d13h4","263.764658737864","17.5223883980583","0.0212612240685313","435.18","30.584","4246.74364384497","0.89973783822425","41"
"102","d13h40","277.805193697479","19.8303340336134","0.024563938486944","519.65","39.56","4251.47843779007","0.947280978793141","5"
"103","d13h41","306.193887837838","21.8241010810811","0.0229125812777376","534.24","39.56","4529.25803096988","0.938939570746409","4"
"104","d13h42","291.544626808511","21.0595817021277","0.0242543090102178","531.32","38.563","4607.69809889502","0.944938814924116","3"
"105","d13h43","288.268629795918","20.6979479591837","0.0252864072659717","547.37","40.89","4732.196471815","0.950656403256763","2"
"106","d13h44","313.491695689655","22.6115100862069","0.0239446795334916","559.04","42.552","4670.62417217996","0.95119465526769","1"
"107","d13h45","282.194428767123","26.6098153767123","0.0301372690680153","612.19","46.874","12257.4837719596","0.756493962370039","0"
"108","d13h5","261.843251470588","17.6778492156863","0.0210548044173805","416.67","31.914","4478.12086550496","0.883793955156542","40"
"109","d13h6","264.450782843137","17.5654458823529","0.0210548044173805","429.48","30.917","4104.15640272992","0.896134543433901","39"
"110","d13h7","266.938496551724","17.8844751724138","0.0209515945918051","432.33","31.914","4394.89817356004","0.888899055996451","38"
"111","d13h8","267.089000985222","17.8304600492611","0.0209515945918051","443.72","31.249","4112.30884496495","0.898989282759604","37"
"112","d13h9","273.1668545","18.2441869","0.020641965115079","433.76","31.249","4291.80003022507","0.892545051493672","36"
"113","d14h1","251.050885294118","16.0743581372549","0.0206980519480519","410.97","28.922","4842.76161469502","0.846307706918375","44"
"114","d14h10","261.111605714286","18.4075255238095","0.0213068181818182","447.99","33.244","4348.16793792497","0.90623516390569","35"
"115","d14h11","259.630912857143","18.3870031904762","0.0213068181818182","440.87","34.574","4243.75078924501","0.909173362854163","34"
"116","d14h12","256.183053588517","18.0614277033493","0.0212053571428571","438.03","32.911","4136.96661699994","0.903551851955154","33"
"117","d14h13","255.943031627907","17.9670835813954","0.0218141233766234","450.84","33.909","4018.77559128008","0.920558241373585","32"
"118","d14h14","258.028118396226","18.1351152358491","0.0215097402597403","443.72","32.579","4177.21369838004","0.91096154337273","31"
